seriesImg,cityName,brandName,seriesName,detailUrl,modelName,prepaidAmount,mileageStr,firstLicensePlateDate,id
http://img.souche.com/files/default/a5029bee99e8d00fe40a9eba1862f774.jpg,上海,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=AdwT70UYB6&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,2.96万公里,2017年10月,AdwT70UYB6
http://img.souche.com/files/default/6264fa8fd353f347ac8d2528c484b20c.jpg,上海,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=1i6z4GvpyY&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,3.33万公里,2017年10月,1i6z4GvpyY
http://img.souche.com/files/default/419a82f20f77d4b9d0f8a2f061088f82.jpg,深圳,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=PsuGvQCitx&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,2.36万公里,2017年10月,PsuGvQCitx
http://img.souche.com/files/default/bf1020cf35ce8db57c8a66db28bc653f.jpg,承德,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=GcQNErduAb&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.51万公里,2017年09月,GcQNErduAb
http://img.souche.com/files/default/da4a55b5c99732974f0590e5234044a7.jpg,温州,起亚,起亚KX CROSS,https://app.tangeche.com/#/car/used/detail?carId=WTKcRrTSHe&cityCode=&provinceCode=,2017款  1.4L AT GLS,420000,0.87万公里,2018年04月,WTKcRrTSHe
http://img.souche.com/files/default/5a80d6aba14b756f2cda655c430052c3.jpg,黄石,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=WFqQZpQGVY&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,2.00万公里,2017年11月,WFqQZpQGVY
http://img.souche.com/7abd4da60844842963f53a0041b365a9.jpg,昆明,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=OzAzdOyi6O&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,2.48万公里,2017年09月,OzAzdOyi6O
http://img.souche.com/files/default/cbce474762f70e51820f81a8b92a6173.jpg,泉州,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=P5gvtmZJy1&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.48万公里,2017年09月,P5gvtmZJy1
http://img.souche.com/6fa9b4c658dbcf92924a71f598ecedef.jpg,汕头,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=IIqqE56xBJ&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,2.92万公里,2017年08月,IIqqE56xBJ
http://img.souche.com/19c191fc0fddb35481487319b89083fb.jpg,茂名,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=YYOSnCg4s1&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,2.00万公里,2017年08月,YYOSnCg4s1
http://img.souche.com/files/default/a9a1fb78cce8923d19835bd77e1b375e.jpg,上海,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=0r8e9cXack&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.79万公里,2017年10月,0r8e9cXack
http://img.souche.com/62b4e26f68c94552efa042f012ff36a4.jpg,南宁,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=bbAPFAUWD2&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.48万公里,2017年07月,bbAPFAUWD2
http://img.souche.com/c392c6a4a67b20a0cfe4e93f03859c70.jpg,潜江,英菲尼迪,英菲尼迪QX30,https://app.tangeche.com/#/car/used/detail?carId=WZuACeGAda&cityCode=&provinceCode=,2017款  2.0T 四驱时尚版,1370000,1.86万公里,2017年08月,WZuACeGAda
http://img.souche.com/04cb20a0f81d2e70704ecb725cf744b9.jpg,大连,Jeep,Jeep自由侠,https://app.tangeche.com/#/car/used/detail?carId=4ke4hPGzbm&cityCode=&provinceCode=,2017款  180T 自动劲能版,790000,2.77万公里,2017年10月,4ke4hPGzbm
http://img.souche.com/0d364d6c0d8efc11ae9a2251c75be085.jpg,宁波,东风风神,东风风神风神A60,https://app.tangeche.com/#/car/used/detail?carId=cIa6pbe2O0&cityCode=&provinceCode=,2016款  1.6L 自动豪华型,410000,1.78万公里,2017年11月,cIa6pbe2O0
http://img.souche.com/d55b40f3c624043be9fc96c7a0ff24e7.jpg,南宁,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=JAcLmLTR3R&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.03万公里,2017年08月,JAcLmLTR3R
http://img.souche.com/f1aea4f228f8c29e5bf082aa29c708f9.jpg,深圳,日产,日产西玛,https://app.tangeche.com/#/car/used/detail?carId=97AhitGYvA&cityCode=&provinceCode=,2016款  2.5L XL 豪华版,1240000,1.30万公里,2017年12月,97AhitGYvA
http://img.souche.com/4e8d291bb91538374c81ab1d043d9529.jpg,南京,Jeep,Jeep自由侠,https://app.tangeche.com/#/car/used/detail?carId=fj42wnA42H&cityCode=&provinceCode=,2017款  180T 自动劲能版,790000,6.49万公里,2017年12月,fj42wnA42H
http://img.souche.com/f2c804f4ee83f8f53223de8e05a7c6b2.jpg,宁波,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=3LOIEw7rjF&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,0.17万公里,2018年08月,3LOIEw7rjF
http://img.souche.com/files/default/30ddc230f48350e27096669e59748cfe.jpg,淮安,起亚,起亚KX CROSS,https://app.tangeche.com/#/car/used/detail?carId=Pu6ryG3WCv&cityCode=&provinceCode=,2017款  1.4L AT GLS,420000,3.57万公里,2018年03月,Pu6ryG3WCv
http://img.souche.com/files/default/4bdb11ae0c142028966e45d0bdd9d818.jpg,深圳,标致,标致3008,https://app.tangeche.com/#/car/used/detail?carId=KLMDgUNok3&cityCode=&provinceCode=,2016款  1.6THP 自动领航版,720000,2.75万公里,2017年11月,KLMDgUNok3
http://img.souche.com/7f709da255550f971e2b2422c98c75b2.jpg,常州,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=RHgTPYnf2G&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,1.60万公里,2017年10月,RHgTPYnf2G
http://img.souche.com/80977b7522e454cb9aa85762733c12cb.jpg,焦作,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=aisPIObapg&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,1.47万公里,2017年10月,aisPIObapg
http://img.souche.com/f3981945a7a2c2b01291464c84b729c1.jpg,襄阳,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=1awXRZ5Dso&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,4.18万公里,2017年07月,1awXRZ5Dso
http://img.souche.com/fd55e1bfc11b6a22ae6603fad7b9a0be.jpg,成都,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=83OC13VznJ&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,0.99万公里,2017年10月,83OC13VznJ
http://img.souche.com/files/default/071dfd6239e2b16bfe8bdd0e6eaea0b7.jpg,深圳,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=ae4WSkGp2t&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.44万公里,2017年09月,ae4WSkGp2t
http://img.souche.com/c43c9d525b941c29e62463a9826d85f6.jpg,苏州,Jeep,Jeep自由侠,https://app.tangeche.com/#/car/used/detail?carId=2AsLGRsnzR&cityCode=&provinceCode=,2017款  180T 自动劲能版,790000,1.88万公里,2017年11月,2AsLGRsnzR
http://img.souche.com/files/default/23075c3da54bf23f52ede679ba69984a.jpg,太原,标致,标致RCZ,https://app.tangeche.com/#/car/used/detail?carId=zLAJ27hmZr&cityCode=&provinceCode=,2014款    1.6T 时尚型,1640000,2.05万公里,2017年11月,zLAJ27hmZr
http://img.souche.com/3b50d40ced6bcb85fe914e5615b9bd0a.jpg,沧州,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=PScppSDAeb&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,1.40万公里,2017年10月,PScppSDAeb
http://img.souche.com/files/default/344314a0d2a1190d342145f572d0157b.jpg,青岛,东风风神,东风风神风神A60,https://app.tangeche.com/#/car/used/detail?carId=OXaeMv5znI&cityCode=&provinceCode=,2016款  1.6L 自动豪华型,410000,2.28万公里,2017年11月,OXaeMv5znI
http://img.souche.com/71862da6a403c417cc61498fb61a0791.jpg,梅州,Jeep,Jeep自由侠,https://app.tangeche.com/#/car/used/detail?carId=hS8yJY2eeM&cityCode=&provinceCode=,2017款  180T 自动劲能版,790000,1.48万公里,2017年10月,hS8yJY2eeM
http://img.souche.com/files/default/db93e9ea9186c63091517435133d15df.jpg,西安,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=CbgxkIrCqA&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,1.07万公里,2017年10月,CbgxkIrCqA
http://img.souche.com/files/default/5d9b98661c7c7085e9705452ffe0c044.jpg,武汉,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=WTwdQ4tQcK&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,1.23万公里,2017年10月,WTwdQ4tQcK
http://img.souche.com/files/default/e0e44b9915e29b09a0419bed77deb564.jpg,上海,Jeep,Jeep自由侠,https://app.tangeche.com/#/car/used/detail?carId=ZlcjoatNYM&cityCode=&provinceCode=,2017款  180T 自动劲能版,790000,0.85万公里,2018年05月,ZlcjoatNYM
http://img.souche.com/201736cf421e2356c6985b2b95e3cb9f.jpg,南京,Jeep,Jeep自由侠,https://app.tangeche.com/#/car/used/detail?carId=aMu2noButO&cityCode=&provinceCode=,2017款  180T 自动劲能版,790000,1.85万公里,2017年07月,aMu2noButO
http://img.souche.com/files/default/7b336e661c4be361f80854f9d6714a88.jpg,西安,Jeep,Jeep自由侠,https://app.tangeche.com/#/car/used/detail?carId=qb84kAG8uV&cityCode=&provinceCode=,2017款  180T 自动劲能版,790000,2.48万公里,2017年10月,qb84kAG8uV
http://img.souche.com/2c75aa5c75722666e3d9580168f00228.jpg,宁波,标致,标致4008,https://app.tangeche.com/#/car/used/detail?carId=Kn860q3UUZ&cityCode=&provinceCode=,2017款  350THP 精英版,840000,2.81万公里,2017年01月,Kn860q3UUZ
http://img.souche.com/5d54394d3a7072222f462f128013f54c.jpg,南昌,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=uI44yR822D&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,2.16万公里,2017年10月,uI44yR822D
http://img.souche.com/88b56c4e99c945ceaaca9ed6caaaf5b3.jpg,石家庄,标致,标致3008,https://app.tangeche.com/#/car/used/detail?carId=vaqKe2xJaL&cityCode=&provinceCode=,2016款  1.6THP 自动领航版,720000,1.95万公里,2017年10月,vaqKe2xJaL
http://img.souche.com/files/default/66d9f39cd8d71130334ddc883a76986b.jpg,上海,玛莎拉蒂,玛莎拉蒂Levante,https://app.tangeche.com/#/car/used/detail?carId=N36DyeIuEy&cityCode=&provinceCode=,2018款  3.0T 天猫限量经典版,8680000,0.93万公里,2017年10月,N36DyeIuEy
seriesImg,cityName,brandName,seriesName,detailUrl,modelName,prepaidAmount,mileageStr,firstLicensePlateDate,id
http://img.souche.com/files/default/6264fa8fd353f347ac8d2528c484b20c.jpg,上海,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=1i6z4GvpyY&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,3.33万公里,2017年10月,1i6z4GvpyY
http://img.souche.com/files/default/a5029bee99e8d00fe40a9eba1862f774.jpg,上海,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=AdwT70UYB6&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,2.96万公里,2017年10月,AdwT70UYB6
http://img.souche.com/files/default/419a82f20f77d4b9d0f8a2f061088f82.jpg,深圳,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=PsuGvQCitx&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,2.36万公里,2017年10月,PsuGvQCitx
http://img.souche.com/files/default/bf1020cf35ce8db57c8a66db28bc653f.jpg,承德,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=GcQNErduAb&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.51万公里,2017年09月,GcQNErduAb
http://img.souche.com/files/default/5a80d6aba14b756f2cda655c430052c3.jpg,黄石,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=WFqQZpQGVY&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,2.00万公里,2017年11月,WFqQZpQGVY
http://img.souche.com/7abd4da60844842963f53a0041b365a9.jpg,昆明,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=OzAzdOyi6O&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,2.48万公里,2017年09月,OzAzdOyi6O
http://img.souche.com/files/default/cbce474762f70e51820f81a8b92a6173.jpg,泉州,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=P5gvtmZJy1&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.48万公里,2017年09月,P5gvtmZJy1
http://img.souche.com/6fa9b4c658dbcf92924a71f598ecedef.jpg,汕头,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=IIqqE56xBJ&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,2.92万公里,2017年08月,IIqqE56xBJ
http://img.souche.com/19c191fc0fddb35481487319b89083fb.jpg,茂名,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=YYOSnCg4s1&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,2.00万公里,2017年08月,YYOSnCg4s1
http://img.souche.com/files/default/a9a1fb78cce8923d19835bd77e1b375e.jpg,上海,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=0r8e9cXack&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.79万公里,2017年10月,0r8e9cXack
http://img.souche.com/62b4e26f68c94552efa042f012ff36a4.jpg,南宁,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=bbAPFAUWD2&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.48万公里,2017年07月,bbAPFAUWD2
http://img.souche.com/c392c6a4a67b20a0cfe4e93f03859c70.jpg,潜江,英菲尼迪,英菲尼迪QX30,https://app.tangeche.com/#/car/used/detail?carId=WZuACeGAda&cityCode=&provinceCode=,2017款  2.0T 四驱时尚版,1370000,1.86万公里,2017年08月,WZuACeGAda
http://img.souche.com/04cb20a0f81d2e70704ecb725cf744b9.jpg,大连,Jeep,Jeep自由侠,https://app.tangeche.com/#/car/used/detail?carId=4ke4hPGzbm&cityCode=&provinceCode=,2017款  180T 自动劲能版,790000,2.77万公里,2017年10月,4ke4hPGzbm
http://img.souche.com/0d364d6c0d8efc11ae9a2251c75be085.jpg,宁波,东风风神,东风风神风神A60,https://app.tangeche.com/#/car/used/detail?carId=cIa6pbe2O0&cityCode=&provinceCode=,2016款  1.6L 自动豪华型,410000,1.78万公里,2017年11月,cIa6pbe2O0
http://img.souche.com/d55b40f3c624043be9fc96c7a0ff24e7.jpg,南宁,英菲尼迪,英菲尼迪ESQ,https://app.tangeche.com/#/car/used/detail?carId=JAcLmLTR3R&cityCode=&provinceCode=,2014款    1.6L 率性版,800000,1.03万公里,2017年08月,JAcLmLTR3R
http://img.souche.com/f1aea4f228f8c29e5bf082aa29c708f9.jpg,深圳,日产,日产西玛,https://app.tangeche.com/#/car/used/detail?carId=97AhitGYvA&cityCode=&provinceCode=,2016款  2.5L XL 豪华版,1240000,1.30万公里,2017年12月,97AhitGYvA
http://img.souche.com/4e8d291bb91538374c81ab1d043d9529.jpg,南京,Jeep,Jeep自由侠,https://app.tangeche.com/#/car/used/detail?carId=fj42wnA42H&cityCode=&provinceCode=,2017款  180T 自动劲能版,790000,6.49万公里,2017年12月,fj42wnA42H
http://img.souche.com/f2c804f4ee83f8f53223de8e05a7c6b2.jpg,宁波,斯柯达,斯柯达野帝,https://app.tangeche.com/#/car/used/detail?carId=3LOIEw7rjF&cityCode=&provinceCode=,2017款  280TSI DSG前行版,540000,0.17万公里,2018年08月,3LOIEw7rjF
http://img.souche.com/files/default/30ddc230f48350e27096669e59748cfe.jpg,淮安,起亚,起亚KX CROSS,https://app.tangeche.com/#/car/used/detail?carId=Pu6ryG3WCv&cityCode=&provinceCode=,2017款  1.4L AT GLS,420000,3.57万公里,2018年03月,Pu6ryG3WCv
